日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-16,4063,4977.0,202511,5250.0,359.93,94.62729535909692,0.346519,4700.0,311194063,84.1389874191309,,0.346519
2025-10-16,4502,4211.0,202511,4400.0,238.18,54.30083849156927,0.258132,4000.0,311114502,43.77467524164274,,0.258132
2025-10-16,5108,6562.0,202511,7000.0,465.51,33.676908867077486,0.219347,6000.0,311015108,13.721730811815462,,0.219347
2025-10-16,5401,602.7999877929688,202511,640.0,44.98,8.622604900009975,0.316756,580.0,311125401,11.918608677645608,,0.316756
2025-10-16,5713,5321.0,202511,5500.0,295.21,124.3043068289146,0.325393,5000.0,311075713,72.6297346435133,,0.325393
2025-10-16,5802,4544.0,202511,4800.0,325.39,76.02859514853412,0.327803,4400.0,311045802,105.33852630216256,,0.327803
2025-10-16,6098,7646.0,202511,8000.0,551.2,211.0259994249318,0.403459,7250.0,311126098,181.12526636799885,,0.403459
2025-10-16,6301,5387.0,202511,5750.0,433.05,77.76521290175333,0.3324,5000.0,311156301,61.28742559181728,,0.3324
2025-10-16,6501,4602.0,202511,4800.0,349.37,160.7801333091188,0.460294,4400.0,311196501,149.3295190482538,,0.460294
2025-10-16,6503,3899.0,202511,4000.0,184.3,88.80053544553675,0.2951,3800.0,311036503,86.33981358088818,,0.2951
2025-10-16,6594,2509.0,202511,2600.0,146.21,59.11813542138998,0.335479,2400.0,311026594,49.49654505268063,,0.335479
2025-10-16,6702,3778.0,202511,4000.0,265.67,48.607353869785584,0.294003,3600.0,311026702,54.78325220036538,,0.294003
2025-10-16,6723,1940.5,202511,2000.0,123.74,67.93248005912596,0.420639,1800.0,311046723,36.562875408991886,,0.420639
2025-10-16,6752,1797.0,202511,1900.0,158.84,59.66218111445937,0.488081,1700.0,311196752,56.5825887299884,,0.488081
2025-10-16,6758,4321.0,202511,4516.0,328.59,142.2008122951927,0.448518,4100.0,311486758,123.05829135602336,,0.448518
2025-10-16,6762,2277.5,202511,2400.0,169.55,50.86208693206538,0.375808,2200.0,311046762,62.34820775920821,,0.375808
2025-10-16,6861,58760.0,202511,62000.0,4469.96,1329.6213232702685,0.382464,56000.0,311166861,1366.1378348785074,,0.382464
2025-10-16,6954,4527.0,202511,4800.0,344.41,78.26098333587697,0.34395,4400.0,311046954,119.26799491269162,,0.34395
2025-10-16,7203,2954.5,202511,3100.0,197.02,55.94826065629081,0.330203,2800.0,311157203,48.3834183409831,,0.330203
2025-10-16,7974,12150.0,202511,12750.0,913.35,335.7000686961046,0.412984,11500.0,311057974,292.263023835732,,0.412984
2025-10-16,8035,30250.0,202511,32000.0,2954.52,1279.3548895966542,0.57267,28750.0,311458035,1271.6639795400442,,0.57267
2025-10-16,8306,2301.0,202511,2400.0,143.67,48.17794353901388,0.331461,2200.0,311158306,44.11728269190212,,0.331461
